content,type
"Soon the time when just roads and rivers
run dark in the white. Then they’ll be gone.
 
But during such days of path and vein
you’ll trace back how things became.
 
You’re standing in a curving lane of birches
with the word confidante. The birches
 
are hilled, coming toward you, going away,
and it’s with you, this word, the same as light
 
coming bright off the snow, or light being held
as blue shadow. All of this
 
not far off, but nothing’s even fallen yet,
the woods empty, done boning up.",Nature
"I was a child and she was a child,
In this kingdom by the sea:
But we loved with a love that was more than love—
I and my Annabel Lee;
With a love that the winged seraphs of heaven
Laughed loud at her and me.

And this was the reason that, long ago,
In this kingdom by the sea,
A wind blew out of a cloud, chilling
My beautiful Annabel Lee;
So that her highborn kinsman came
And bore her away from me,
To shut her up in a sepulchre
In this kingdom by the sea.

The angels, not half so happy in heaven,
Went laughing at her and me—
Yes!—that was the reason (as all men know,
In this kingdom by the sea)
That the wind came out of the cloud by night,
Chilling and killing my Annabel Lee",Love
"hey heard the South wind sighing
    A murmur of the rain;
And they knew that Earth was longing
    To see them all again.
 
While the snow-drops still were sleeping
    Beneath the silent sod;
They felt their new life pulsing
    Within the dark, cold clod.
 
Not a daffodil nor daisy
    Had dared to raise its head;
Not a fairhaired dandelion
    Peeped timid from its bed;
 
Though a tremor of the winter
    Did shivering through them run;
Yet they lifted up their foreheads
    To greet the vernal sun.",Nature
"In Artemisia Gentileschi’s painting of Cleopatra, Cleopatra reclines, heavy-lidded, left hand limp on the pillow above her head. In her right hand, she clutches an asp. Is this the moment before she is bitten or just after? I want to know whether, at the moment of death, that first release will stiffen. In Danaë, her reclining figure echoes Cleopatra’s but Danaë’s left hand is limp with leisure, not surrender, while her right holds a fistful of the gold coins raining down on her naked thighs. Looking at this painting now, I don’t feel leisure. I don’t feel sex. I feel that I might stiffen and not be able to rise. Danaë’s legs crossed at the calves and pressing against the bed cause her back to arch so that the moment of her desire mirrors Cleopatra’s death. The figure retains energy, a tension that defies either weariness or leisure. I like to work from the people that I see and that I want to see. What is fabric to skin, skin to violence? Sometimes I’m concerned with using something that’s in them and which isn’t actually visible. I try to capture the figure where the sun has darkened the skin. But that isn’t the end of the neck. In Judith Slaying Holofernes, the light hits Judith’s neck only at the base.",Mythology
"The time will come
when, with elation
you will greet yourself arriving
at your own door, in your own mirror
and each will smile at the other's welcome,

and say, sit here. Eat.
You will love again the stranger who was your self.
Give wine. Give bread. Give back your heart
to itself, to the stranger who has loved you

all your life, whom you ignored
for another, who knows you by heart.
Take down the love letters from the bookshelf,

the photographs, the desperate notes,
peel your own image from the mirror.
Sit. Feast on your life",Love
"There are many different churches; but how can that be?
When there is only one Holy Bible for all to read
There is one church over here and one over there
And they all profess to be THE house of prayer

There are many different churches; but how can that be?
When we need to worship with love and in harmony
But man wants to separate  his church from the rest
And goes around boasting that his is the very best",Religion
"The Sounds Of Nature
O, tis so sweet.
Who am I
That would dare try to repeat
The lovliness of a tweet.
The flutter of its wings
The tiny cute prints
Of a little birds feet.

The Sounds of Nature
O, how beautiful yet afar.
Are raindrops against the windshield
Of a still parked car.
Each little drip dropp runs
Caressing the mind so intensely
Seemingly just to play a part
Or perhaps for the fun of it.",Nature
"We travel together 
my Bible and I
Down the trails of rainbow
as the days go by.

I need your sweet friendship
your message of love
Painting the pathway
to the beauties above.

May the light of the spirit
your pages unfold
And daily reveal
your treasures of gold.",Religion
"Mama's Bible, so ragged and worn,
Its pages are scribbled, ripped and torn.
Its been around for ages, she's had it for years,
Some pages smudged by rain and some by her tears

The name on the cover is faded, it's true.
There might be a page missing, or two.
To look at that book one might scoff and frown
They may say, ""Why, there's no use in keeping it around.",Religion
"What I meant is that when the child shook the branch,
the beetles, quiet, somnolent, darkly, fell and again fell
like plums. Once woken, they bzzzed towards
the street lamps, loving each light well, thwacking
against them until they landed face down or face
up, trying to find their feet, reminding me of Eve’s face
as a baby when she tried to lift her head on her stem
of a neck before yet she could. Upon the child’s shoulders,
beetles landed, kinging him. The dusk’s gray mute
unfolded its scrolls, while his mother made toast
with boysenberry jam, his father played solitaire,
and think of his sister doing her biology homework.
But they are under the tree, he is, the bright ones falling
upon him like stars, and as they fall, he names them:
some doctors, some cooks, depending on the size
of their antennae. His face was a diary of leaves: dark,
lit, risen with laughter, then suddenly at rest. This
was one way to be inside the world rather than outside
looking into a bright window.",Nature
"Goaded and harassed in the factory
           That tears our life up into bits of days
           Ticked off upon a clock which never stays,
          Shredding our portion of Eternity,
          We break away at last, and steal the key
           Which hides a world empty of hours; ways
           Of space unroll, and Heaven overlays
          The leafy, sun-lit earth of Fantasy.
           Beyond the ilex shadow glares the sun,
           Scorching against the blue flame of the sky.
          Brown lily-pads lie heavy and supine
           Within a granite basin, under one
           The bronze-gold glimmer of a carp; and I
          Reach out my hand and pluck a nectarine.",Nature
"I close my eyes and I can see Jesus coming;

I can hear the heavenly harps strumming;

I can hear beautiful Angels humming;

I can hear a multitude of Saints running;

They are all calling my name it seems.

Thank you, Jesus, for such a wonderful dream",Religion
"Daily, daily scathing roughens the psyche
and veils are unhinged. I too was a planet,
planed and waterless. Wolf-roved. Our roofs
leaked, mischievous sisters locked the Mother General
out in the garth where she prayed to the Foundress
and the dead and the living looked on, entombed
and disapproving. Gray nuns, grave, gave out.
There was weeping in every stall.
Though the stalls be empty of cattle, we trust.
Though our intellects rust, we grow tweedy-brown
and opportunistic, feeding off morsels.
A cosmos of relics in the crypt and a senior
sister led the laity around brilliantly by a
twisted adamantine-ringed nose, to see
broken finger bones, bloody cloths, brains.
Blood so blue and white we redden and hide
our film-star faces. Cagey.
Margaret crushed by a door. Martha martyred
by a window overlooking the park,
with swaggering ducks and blinding water.
Paddlers. What if you had held a grudge,
fondled it, and found that you had fallen in love?
He has turned up finally, his jaw like the suspension
bridge, magnetized with stubble, cheekbones like girders.
Oh no, I am not a clichï¿½. See my inside.
Ten years inside but without the comforts of bantam mornings.
Bodies on beds shimmied into corners with shifty valances. September blues.
Fat satin. Sidling in from the green room. In the gut, a vagabond
ache like disgust. I walk cumbersome honesty sideways
through several doors, park her in the smoky alley.
Pull up compunction by his Jaeger collar, kiss his spandrel nose,
expel him into the snowy street.
I relish jealousy on the side with copious dressing.
Feed depression to a gull called Guillaume
on a bleak beach during lunch break.
Simplify the universe with a pie chart
and chomp down three-quarters of it with mustard and beer.",Religion
"I came to you one rainless August night.
You taught me how to live without the rain.
You are thirst and thirst is all I know.
You are sand, wind, sun, and burning sky,
The hottest blue. You blow a breeze and brand
Your breath into my mouth. You reach—then bend
Your force, to break, blow, burn, and make me new.
You wrap your name tight around my ribs
And keep me warm. I was born for you.
Above, below, by you, by you surrounded.
I wake to you at dawn. Never break your
Knot. Reach, rise, blow, Sálvame, mi dios,
Trágame, mi tierra. Salva, traga, Break me,
I am bread. I will be the water for your thirst.",Love
"O mother-heart! when fast the arrows flew,
   Like blinding lightning, smiting as they fell,
   One after one, one after one, what knell
Could fitly voice thy anguish! Sorrow grew 
To throes intensest, when thy sad soul knew
   Thy youngest, too, must go. Was it not well,
   Avengers wroth, just one to spare? Ay, tell
The ages of soul-struggle sterner? Through
The flinty stone, O image of despair,
   Sad Niobe, thy maddened grief did flow
In bitt’rest tears, when all thy wailing prayer
   Was so denied. Alas! what weight of woe
Is prisoned in thy melancholy eyes!
What mother-love beneath the Stoic lies!
",Mythology
"Captured in the Psalms are the most eloquent Praises
And to read and ponder them affords one great graces.

The Lord's is the earth, and the sea, and the sky;
His is the moon, stars, sun and clouds rolling by.

His Seasons glorify Him each in their own way.
Think of the hope in the beauty of a Spring day,
Thunderclaps and lightning of Summer at play,
Fall's russets, browns, and yellows in breezes sway,
And Winter's cold, chill, and ice, with snows that lay.

Ponder the land with rocks, hills and mountains,
Rivers, streams, and geysers spewing like fountains.

Consider the lilies, roses, shrubs and trees
Which cause one to thank God on bended knees.",Nature
"Fair river! in thy bright, clear flow
         Of crystal, wandering water,
     Thou art an emblem of the glow
             Of beauty—the unhidden heart—
             The playful maziness of art
     In old Alberto’s daughter;

     But when within thy wave she looks—
             Which glistens then, and trembles—
     Why, then, the prettiest of brooks
             Her worshipper resembles;
     For in my heart, as in thy stream,
         Her image deeply lies—
     His heart which trembles at the beam
         Of her soul-searching eyes.",Nature
"Somewhere I read 
that when they finally staggered off the mountain 
into some strange town, past drunk, 
hoarse, half naked, blear-eyed, 
blood dried under broken nails 
and across young thighs, 
but still jeering and joking, still trying 
to dance, lurching and yelling, but falling 
dead asleep by the market stalls, 
sprawled helpless, flat out, then 
middle-aged women, 
respectable housewives, 
would come and stand nightlong in the agora 
silent 
together 
as ewes and cows in the night fields, 
guarding, watching them 
as their mothers 
watched over them. 
And no man 
dared 
that fierce decorum.",Mythology
"He can calm the troubled waters
When you walk in deep despair.
There is hope when you feel helpless
Knowing that the Lord is there....

Sharing in your sunshine moments
Or in valleys deep and wide,
He will never, ever leave you --
He is always by your side.",Religion
"Void, empty, hollow inside
My dreams have fled, my hopes have died
Existence has no reason
Life's just passing with each season

She was my life, my hope, my love
All is gone, passed by thereof
The hurt is such no one should bear
What's to life, why should I care?

I weep all night for my love gone
My heart is sick, for death I long
Mine eyes well tears for love that's lost
I'll mourn always for the great cost

But in each day Lord give me hope
Strengthen me so I may cope
Grant me wisdom to help me see
Thy great way and not just me.",Love
"Some things on this earth are unspeakable:
Genealogy of the broken—
A shy wind threading leaves after a massacre,
Or the smell of coffee and no one there—

Some humans say trees are not sentient beings,
But they do not understand poetry—

Nor can they hear the singing of trees when they are fed by
Wind, or water music—
Or hear their cries of anguish when they are broken and bereft—

Now I am a woman longing to be a tree, planted in a moist, dark earth
Between sunrise and sunset—

I cannot walk through all realms—
I carry a yearning I cannot bear alone in the dark—

What shall I do with all this heartache?

The deepest-rooted dream of a tree is to walk
Even just a little ways, from the place next to the doorway—
To the edge of the river of life, and drink—

I have heard trees talking, long after the sun has gone down:

Imagine what would it be like to dance close together
In this land of water and knowledge. . .

To drink deep what is undrinkable.",Nature
" The cold gray hills they bind me around,
    The darksome valleys lie sleeping below,
  But the winds as they pass o’er all this ground,
    Bring me never a sound of woe!

  Oh! for all I have suffered and striven,
    Care has embittered my cup and my feast;
  But here is the night and the dark blue heaven,
    And my soul shall be at rest.",Nature
"Love was.....

When 'if' lay between you and I
And 'never' seemed forever
I fell to earth in surrender
And you became the centre of my eye

Love is.....

When I pass by you accidentally
I grab a sense of your smile
When between us is distance measured by the mile
I grab a sense of our love immeasurably

Love will be.....

When I can no longer see to see
When I can no longer hear to hear
I know you will be near
Simply just you and me

Love eternally.....

When God granted us our wish finally
He put in us a throbbing heart
When it stops from this earth we will depart
But our Love will live eternally",Love
"Every coin of earthly treasure
We have lavished, upon earth,
For our simple worldly pleasure,
May be reckoned something worth;
For the spending was not losing,
Though the purchase were but small;
It has perished with the using;
We have had it--that is all!

    II

All the gold we leave behind us
When we turn to dust again
(Though our avarice may blind us),
We have gathered quite in vain;
Since we neither can direct it,
By the winds of fortune tossed,
Nor in other worlds expect it;
What we hoarded, we have lost.

    III

But each merciful oblation--
(Seed of pity wisely sown),
What we gave in self-negation,
We may safely call our own;
For the treasure freely given
Is the treasure that we hoard,
Since the angels keep in Heaven
What is lent unto the Lord! ",Religion
"Nature Baby as free as a bird
Nature Baby not speaking a word
Nature Baby living day by day
Nature Baby always floating away. Feeling the soil around my feet
The sun rays beating down with heat
My being feeling like I'm not physically here
And when I look around I'm so much more aware. The energy keeps coming my way
As I buzz through life and play
Nature Baby being free
Nature Baby that is me
That is what is meant to be. Nature Baby gave the garden lots of love and energy
And now the gardens have surrounded me with beauty
And the heavenly scents from each flower in bloom
As we share the space within this big room. Nature Baby as free as a bird
Nature Baby not speaking a word. ",Nature
"But Mary kept all these things, and pondered them in her heart.
A strategy of continence, avoidance, mule-headedness, and hope.

The next assassin, brush fire, or virus swerves this way, head-on collision;
We see it coming and canâ€™t divertâ€‰â€”â€‰the path too crowded with pilgrims.

By the side of the road to Calvary blooms a mustard bush.
It never means to do anything but propagate.

It sees the centuries winnow themselves in and out,
And hears itself appropriated for a parable.

It keeps all these things, and ponders them in its heart
While casting savior seeds generation after generation.",Religion
"I wrote hard
on paper
 
at the bottom
of a pool
 
near a canyon
where the stars
 
slid onto their bellies
like fish
 
I wrote: 
I went through
the mountain
 
through the leaves
of La Puente
 
to see the moon
but it was too late
 
too long ago
to walk on glass. 
Near those years
when the house fell on me
 
my father told me
draw mom
 
in bed with
another man
From a plum tree
 
the sound of branches
fall like fruit
 
I’m older
no longer afraid
 
my voice like water
pulled from the well

where the wind had been buried
where someone was always

running into my room
asking, what’s wrong?",Nature
"Where’s Madge then,
Madge and her men?
buried with
Alice in her hair,
(but if you ask the rain
he’ll not tell where.)

beauty makes terms
with time and his worms,
when loveliness
says sweetly Yes
to wind and cold;
and how much earth
is Madge worth?
Inquire of the flower that sways in the autumn
she will never guess.
but i know",Mythology
"All can see, in the shining places,
Vestiges of her classic graces;
Where her footsteps, fleet and stark,
Have beautifully embossed the dark.

We know indeed, that the stately and golden
Antlers, hunters and heroes olden,
Wood-nymph, satyr, and sylvan faun.—
Goddess and stag, are gone!—all gone!
But still,—as strange as it may appear,—

Sometimes when the nights are bright and clear,
The long-breathed hounds are heard to bay
Over the hills and far away!
And lovers who walk at Love’s high Noon,
See something flash in the light of the moon,

As a shining stag swept through the sky,
And the chase of the goddess were up, on high.
But be this as it may, in sooth,
It is only in the pursuit of Truth,
That the Soul shall overtake and possess

The most exalted Happiness.",Mythology
"I was born in Speckled Eggs Garden.
I will die on Broken Egg Farm.
Iâ€™m hopping between them now,
I consider everything
to be friendly
and nothing dubbed.
I am a chick with legs
and yellow hair.
Oh Lord Almighty, creator of
all things beautiful and sick,
who prefers another life on top of this,
who are you to judge?
When Adam and Eve vanished
solemnly into the dark,
shrouding themselves in the forest,
I was timid and nibbling and
stayed behind, betrayed only
by the plucking of my beak
upon the ground you so graciously
provided (thanks).
I did noth with the best,
I am nothing now, do ye
noth with me or not?
Hear me now before I break
O Lord of the Margent,
Lord of noth and straw and all things
sent far, cheerio, sincerely,
I sleep on one leg too!",Religion
"Before thy throne we bow the knee,
Waiting, yes, waiting, Lord, for thee.
Oh, let thy presence fill the place!
Shed the rich manna of thy grace!
 
Lift thou the broken spirit up,
That he may drink the sacred cup,
Filled from the glorious fountain-head
Of life, such is the blood he shed!
 
Come, sinner, come this manna taste,
This heavenly food. O sinner, haste!
This bread of life God gave to you.
'Twas meant for all, not for the few.
 
By swift repentance, then, lay hold,
And come within Christ's sacred fold,
To share the benefits now thine,
And feast your souls on food divine. ",Religion
"Oh, this blessed Book of Thine!
In each word is food divine,--
Food to make the sick heart whole,
Food for every hungry soul.
 
Come, ye wounded ones, and find
Balm for every troubled mind,--
Balm to heal the sorrowing heart,
Balm that bids all pain depart.
 
In its pages strength is found,--
Strength to bear life's deepest wound,
Strength to' o'ercome fierce passion's might,
Strength to speak and act aright.
 
There is love for every one,--
Love for sinners all undone,
Love for poor in wretchedness,
Love that speaks of blessedness.
 
Here we find sure hope of heaven,--
Hope by Christ the Saviour given,
Hope that we through Him may rise
To the realms above the skies.
 
Oh, ne'er slight such worth as this!
It contains our all of bliss,--
All, and more than we can think.
Come and of this fountain drink! ",Religion
"Do you remember Sita? How when Hanuman came to rescue her
she refused, how she insisted that Rama come openly,
defeat her captor Ravana openly? She had no desire for stealth,
no desire for intrigue, and though Ravana could not touch her
for the curse on his flesh, she remained captive until Rama came.
Do you remember that she was tortured? That Hunaman asked her
for permission to kill the women who had tortured her? Do you
remember how she walked through fire to prove her purity,
even though everyone knew of the curse on Ravana? How the people
said the fire didn’t matter because Fire was the brother of her mother,
Earth? How Rama was as weak in the face of his people as he
had been strong in the face of Ravana? Can you imagine the eyes
of Sita when she refused another test? When she looked at Rama,
a man she loved enough to die for, a man who was a god, and knew
it was over? Can you imagine her eyes in that moment, as she asked
her mother to take her back, to swallow her back into the earth? I think
my eyes are like that now, leaving you.",Mythology
"Hang there, my verse, in witness of my love:
	And thou, thrice-crowned queen of night, survey
	With thy chaste eye, from thy pale sphere above,
	Thy huntress' name that my full life doth sway.
	O Rosalind! these trees shall be my books	5
	And in their barks my thoughts I'll character;
	That every eye which in this forest looks
	Shall see thy virtue witness'd every where.
	Run, run, Orlando; carve on every tree
	The fair, the chaste and unexpressive she.",Mythology
"You have seen a bee face up close. The verbs fell away, the sky tore strips of wax paper. You heard the thrill of the bees, you felt the stings. Through the metal hexes of fence, your fingers caught. Sleeping, you hurtled in a Beethoven surge. The geometry of winter: an angle of dead bees. The secret honey in the cells of six. The smell of honey heals all wounds. White wax kisses them, seals. Still you hurt underneath. The stars really do have sharps. The sky black as bees’ eyes. You go on unforgiven. Hungry for honey, hungry for balm, hungry for wings.",Nature
"Your beauty overwhelms me
As I wrap my arms around you
I press your softness tight
Great passion fills my inner being
I'm captured in your embrace
Your eyes control my very soul
The touch of your lips, heaven
Forever frozen in time
All else fades into nothing
",Love
"I want to be your witness, Lord
I want to knock on neighbors' doors
I want to tell them the good news
I want them to know the things You can do

I want to be your witness, Lord
I want to help save the rich and the poor
I want to convince them You are one to know
I want them to know You can save their souls",Religion
"LOVE IS
Always good mannered, bears up under stress
Looks for ways to be kindly, is quick to confess.

LOVE IS NOT
Ever possessive, nor needs to impress.
Not touchy, nor jealous if it seems to get less.

LOVE IS
Looking to share, and hopes for good things.
Knows no limits to taking what life sometimes brings

LOVE IS NOT
Proud or boastful, it does not feel revoked
By injuries suffered, nor is it provoked.

LOVE IS
Decent, believing, looking for good.
Contented, yet happy when misunderstood.
It's trusting, and hoping, as love always should.
Thus love begets love. It personifies God.

Lets hold up the feelings we deem to call Love.
Comparing them close in the light of above",Love
"     Wreathed in myrtle, my sword I’ll conceal
     Like those champions devoted and brave,
     When they plunged in the tyrant their steel,
     And to Athens deliverance gave.

                II

     Beloved heroes! your deathless souls roam
     In the joy breathing isles of the blest;
     Where the mighty of old have their home
     Where Achilles and Diomed rest

                III

     In fresh myrtle my blade I’ll entwine,
     Like Harmodius, the gallant and good,
     When he made at the tutelar shrine
     A libation of Tyranny’s blood.

                IV

     Ye deliverers of Athens from shame!
     Ye avengers of Liberty’s wrongs!
     Endless ages shall cherish your fame,
     Embalmed in their echoing songs!
",Mythology
"       This little bowl is like a mossy pool
          In a Spring wood, where dogtooth violets grow
          Nodding in chequered sunshine of the trees;
          A quiet place, still, with the sound of birds,
          Where, though unseen, is heard the endless song
          And murmur of the never resting sea.
          ‘T was winter, Roger, when you made this cup,
          But coming Spring guided your eager hand
          And round the edge you fashioned young green leaves,
          A proper chalice made to hold the shy
          And little flowers of the woods.  And here
          They will forget their sad uprooting, lost
          In pleasure that this circle of bright leaves
          Should be their setting; once more they will dream
          They hear winds wandering through lofty trees
          And see the sun smiling between the leaves.",Nature
"To pick a tulip from the garden, the red one. To put it on the desk
In the small blue vase, here. No,
Here.

To incline toward it then, as if the flower could teach me something
Of its art.        Of my own art.
When did we forget we were knit by waves,

Not mind? Fomented in dirt, brazenly
We rose from all fours and, from the wrenching losses of dusk,
Conjugated our lullabies.

To hear the red of the tulip searing air. And understand color,
Then, as a way to parse
The shy boson. The corals, dying. The man with burning eyes

Who came up to me on the street today, asking for change. Anything,
Miss, he said, then leaned in, conspiratorial.
Just to get through.",Nature
"O why should Nature niggardly restrain
That foreign nations relish not our tongue?
Else should my lines glide on the waves of Rhene
And crown the Pyrens with my living song.
But, bounded thus, to Scotland get you forth,
Thence take you wing unto the Orcades;
There let my verse get glory in the North,
Making my sighs to thaw the frozen seas;
And let the Bards within that Irish isle,
To whom my Muse with fiery wing shall pass,",Nature
"What did they desire, the dead who had returned?
The sons who had inherited their estates
pretended not to know them. The iron gates
were welded shut, but soon the dead had learned

to hire lawyers practiced in the laws
that bound the afterlife to lesser gods.
The angels thundered on like piston rods,
denying their gold wings to either cause.

The city streetlamps flared like learnÃ¨d ghosts.
The moon turned red. Beneath a scrim of clouds,
Spanish moss draped the myrtle trees like shroudsâ€”
in politics the guests became the hosts.

Those days made angels of the better sort.
The cases languished in a lower court.

",Religion
"From God he's a backslider,
Of ways he loves the wider;
With wickedness a sider,
More venom than a spider.
In sin he's a considerer,
A make-bate and divider;
Blind reason is his guider,
The devil is his rider. ",Nature
"Softly the water ripples
           Against the canoe’s curving side,
          Softly the birch trees rustle
           Flinging over us branches wide.

          Softly the moon glints and glistens
           As the water takes and leaves,
          Like golden ears of corn
           Which fall from loose-bound sheaves,

          Or like the snow-white petals
           Which drop from an overblown rose,
          When Summer ripens to Autumn
           And the freighted year must close.

          From the shore come the scents of a garden,
           And between a gap in the trees
          A proud white statue glimmers
           In cold, disdainful ease.",Nature
"O love love love love love love love
Makes me so glad baby makes me so sad
O love love love love love love love
Makes me so good baby makes me so bad

Your warm touch makes me feel like male
Your negligence burns me like hell
O love love love love love love love
What is love baby who can tell?

You can make me feel so dreamy
You can arouse envy in me
O love love love love love love love
Love can make me curse you baby!",Love
"so there you are in
your pram or kiddikarria
nicely tucked up,
being talked to in that
singysongylingo
that grown-ups grow down to

when that tingylingy, like
that stoopid thingy
dangling on your cot that
doesn't do anything else
goes hissdidahdidah
and she switches her attention instantly
from who's mommy's little treasure then,
sticks this silver thing to block her ear
and starts talking to thin air

it must be either the fairies
who don't seem to be very helpful -
'oh darling don't say you forgot I
asked you specially...'
or she's going doolally and
the adult world's not
what it's cracked up to be
I'll give her two minutes no more
or else",Love
"Sun glows at
The break of dawn.
Trees with outstretched hands
Flirt with the winds.
Embellished with
Pleasant sounds
From birds and the bees
It's Nature at ease.",Nature
"She took away my fears
and opened my heart
like a letter
and found written
Love, love and love
all over",Love
"Yet, love, mere love, is beautiful indeed
And worthy of acceptation. Fire is bright,
Let temple burn, or flax; an equal light
Leaps in the flame from cedar-plank or weed:
And love is fire. And when I say at need
I love thee . . . mark! . . . I love thee—in thy sight
I stand transfigured, glorified aright,
With conscience of the new rays that proceed
Out of my face toward thine. There's nothing low
In love, when love the lowest: meanest creatures
Who love God, God accepts while loving so.
And what I feel, across the inferior features
Of what I am, doth flash itself, and show
How that great work of Love enhances Nature's.",Love
